symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
GOOG,2016-06-14 00:00:00+00:00,718.27,722.47,713.12,716.48,1306065,718.27,722.47,713.12,716.48,1306065,0.0,1.0
GOOG,2016-06-15 00:00:00+00:00,718.92,722.98,717.31,719.0,1214517,718.92,722.98,717.31,719.0,1214517,0.0,1.0
GOOG,2016-06-16 00:00:00+00:00,710.36,716.65,703.26,714.91,1982471,710.36,716.65,703.26,714.91,1982471,0.0,1.0
GOOG,2016-06-17 00:00:00+00:00,691.72,708.82,688.4515,708.65,3402357,691.72,708.82,688.4515,708.65,3402357,0.0,1.0
GOOG,2016-06-20 00:00:00+00:00,693.71,702.48,693.41,698.77,2082538,693.71,702.48,693.41,698.77,2082538,0.0,1.0
GOOG,2016-06-21 00:00:00+00:00,695.94,702.77,692.01,698.4,1465634,695.94,702.77,692.01,698.4,1465634,0.0,1.0
GOOG,2016-06-22 00:00:00+00:00,697.46,700.86,693.0819,699.06,1184318,697.46,700.86,693.0819,699.06,1184318,0.0,1.0
GOOG,2016-06-23 00:00:00+00:00,701.87,701.95,687.0,697.45,2171415,701.87,701.95,687.0,697.45,2171415,0.0,1.0
GOOG,2016-06-24 00:00:00+00:00,675.22,689.4,673.45,675.17,4449022,675.22,689.4,673.45,675.17,4449022,0.0,1.0
GOOG,2016-06-27 00:00:00+00:00,668.26,672.3,663.284,671.0,2641085,668.26,672.3,663.284,671.0,2641085,0.0,1.0
GOOG,2016-06-28 00:00:00+00:00,680.04,680.33,673.0,678.97,2173762,680.04,680.33,673.0,678.97,2173762,0.0,1.0
GOOG,2016-06-29 00:00:00+00:00,684.11,687.4292,681.41,683.0,1932561,684.11,687.4292,681.41,683.0,1932561,0.0,1.0
GOOG,2016-06-30 00:00:00+00:00,692.1,692.32,683.65,685.47,1597714,692.1,692.32,683.65,685.47,1597714,0.0,1.0
GOOG,2016-07-01 00:00:00+00:00,699.21,700.65,692.1301,692.2,1344710,699.21,700.65,692.1301,692.2,1344710,0.0,1.0
GOOG,2016-07-05 00:00:00+00:00,694.49,696.94,688.88,696.06,1462616,694.49,696.94,688.88,696.06,1462616,0.0,1.0
GOOG,2016-07-06 00:00:00+00:00,697.77,701.68,689.09,689.98,1411925,697.77,701.68,689.09,689.98,1411925,0.0,1.0
GOOG,2016-07-07 00:00:00+00:00,695.36,698.2,688.215,698.08,1304200,695.36,698.2,688.215,698.08,1304200,0.0,1.0
GOOG,2016-07-08 00:00:00+00:00,705.63,705.71,696.435,699.5,1575166,705.63,705.71,696.435,699.5,1575166,0.0,1.0
GOOG,2016-07-11 00:00:00+00:00,715.09,716.51,707.24,708.05,1111762,715.09,716.51,707.24,708.05,1111762,0.0,1.0
GOOG,2016-07-12 00:00:00+00:00,720.64,722.94,715.91,719.12,1336921,720.64,722.94,715.91,719.12,1336921,0.0,1.0
GOOG,2016-07-13 00:00:00+00:00,716.98,724.0,716.85,723.62,935876,716.98,724.0,716.85,723.62,935876,0.0,1.0
